Id,name,T3_Kills,T2_Kills,T1_Kills,RssAssistance,RssGathered,AllianceHelp,Pass4_T3_Kills,Pass4_T2_Kills,Pass4_T1_Kills,Pass4_RssAssistance,Pass4_RssGathered,Pass4_AllianceHelp,Total_LowTier_Kills,Total_RSS_Gather,Total_Helps,Total_Assistance
35790056,AsIZE,"161,737","345,145","492,203","4,023,566,070","11,872,139,748","13,376","161,737","345,145","492,203","4,023,566,070","11,872,139,748","13,381",,,,
28419870,Heisenberg 89,"518,724","1,085,184","365,612","3,678,406,884","4,974,073,119","9,567","518,724","1,085,184","365,612","3,678,406,884","4,974,073,119","9,580",,,,
13880048,Pugsley97,0,0,55,"3,263,448,807","20,491,033,712","24,750",0,1,55,"3,263,448,807","20,760,551,312","24,865",,,,
52086629,Rolpsy,"848,083","898,838","1,638,303","589,295,407","7,517,272,855","83,875","848,083",}898838,"1,638,303","589,295,407","7,772,552,518","85,472",,,,
4016167,Ldcarpathes,"41,495","771,329","32,090,004","4,008,048,138","13,345,061,181","64,131","41,495","771,329","32,090,004","4,008,048,138","13,345,061,181","64,132",,,,
2353964,derpstone,"231,324","286,678","1,724,861","182,536,113","3,932,886,960","9,312","998,611","569,217","1,772,837","182,536,113","3,932,886,960","9,312",,,,
39381278,999Wolf,"217,772","239,487","15,776","12,959,201,502","8,855,614,460","25,855","217,772","239,487","15,776","12,959,201,502","8,955,860,049","26,103",,,,
28282912,Lans66,"112,908","450,133","129,070",,"21,568,071,782","7,734","112,908","450,133","129,070",,"21,923,234,162","7,836",,,,
28343184,Najmil1,"1,287","9,454","4,359","2,772,344","5,293,858,444","3,687","1,287","9,454","4,359","2,772,344","5,367,429,127","3,715",,,,
8064984,minidrake,"873,702","372,673","16,164,267","16,416,685,314","17,276,217,027","27,437","873,702","372,673",}16169060,"16,576,423,570","17,514,416,495","27,599",,,,
28300028,ABU NASSER,"1,460,234","2,338,950","18,559,618","379,086,438","4,152,063,066","30,143","1,461,457","2,338,956","18,559,780","379,086,438","4,367,078,750","32,583",,,,
