Id,name,Starting_power,Total_Kills,T5_Kills,T4_Kills,Deaths,Pass4_Power,Total_Kills_Pass4,T5_Kills_Pass4,T4_Kills_Pass4,Deaths_Pass4,Pass4_Total_kills ,Pass4_T5_Kills, Pass4_T4_Kills , Pass4_Deaths 
99396699,OHMadMax64,53959951,6958976,40395,511519,6980,55879663,8274996,87326,549259,47641,1316020,46900,37740,40661
52086629,Rolpsy,57313955,321247288,10627177,10318608,7887764,55811536,348229748,11758578,10754052,8041879,26982460,1130000,435444,154115
56780541,“EinherjarS,62747213,156912932,5892361,3881640,7877444,55731297,180081524,6877371,4228450,9885789,23168592,985000,346810,2008345
89220552,ir ‘yMaster Po,59678594,761421836,19189830,36803370,7302490,55729597,804133512,21002665,37433198,7760882,42711676,1810000,629828,458392
82810160,Filoucheqc,53438756,113229150,3526848,3791983,3362039,55313548,117922910,3720548,3873959,3402280,4693760,194000,81976,40241
1742231,TarantinoBZH,80522976,2.60E+09,93912173,71381700,21843177,55151741,2637965427,95475179,72042831,23484875,37965427,1560000,661131,1641698
21017676,badGazzaG,54259041,832173533,27499679,27411424,15461869,55063471,832173533,27499679,27411424,15461869,0,0,0,0
15168136,SZ LUFFY SZ,53597176,70727084,2085943,2858953,9490459,55043176,70727084,2085943,2858953,9490459,0,0,0,0
2616715,ARNO le NORD,54412247,1.49E+09,47454020,53705053,19575504,55036349,1489477536,47454020,53705053,19575504,522464,0,0,0
53452615,El Paquito,55265677,220695523,7010036,7948524,9068067,54919313,248812421,7978368,8780652,9581312,28116898,968000,832128,513245
2486726,@G Senpai,53984756,149014013,3432874,7750749,8056233,53975337,149014013,3432874,7750749,8056233,0,0,0,0
7722826,LordNameless,53835339,269656907,8548698,9789724,5900435,53891239,269656907,8548698,9789724,5900435,0,0,0,0
28481843,budluckTR2,53582719,129202373,3803344,4902544,6513124,53816737,129202373,3803344,4902544,6513124,0,0,0,0
52610162,PrincipalAnd,53541016,29153995,1218673,448627,3991946,53536630,29153995,1218673,448627,3991946,0,0,0,0
20981772,BadAtiLa 1,53462193,545996186,18438062,17422675,15432995,53462193,545996186,18438062,17422675,15432995,0,0,0,0
26583819,Budluck0Oo'R,53184501,89795027,2917558,2940015,5919022,53394867,89795027,2917558,2940015,5919022,0,0,0,0
28259686,Master Binbin,53385017,19286427,293854,1292957,313583,53385017,19286427,293854,1292957,313583,0,0,0,0
28209988,Jaeger 69,51873344,159780216,1316626,12475929,7407961,52814644,159780216,1316626,12475929,7407961,0,0,0,0
29881568,Milanok,53769527,83407571,3094021,2070853,11787085,52289237,86209461,3172015,2195054,11871792,2801890,78000,124201,84707
31369906,Wan Shein,53392660,30202001,1389288,179391,1506238,52163960,30659344,1404998,187263,2369490,457343,15700,7872,863252
29944980,ROLLING STO?,50430392,34303675,1632679,85485,2878454,52133756,34303675,1632679,85485,2878454,0,0,0,0
29093542,ConfusedWolfi,51671692,371658748,4355215,25586825,5887944,51984750,371658748,4355215,25586825,5887944,0,0,0,0
37026347,Nurse Q,53517640,365416723,12545959,11012617,9855728,51918304,383185654,13212238,11456952,10569110,17768931,666000,444335,713382
30552095,FiihrerBiscott,51316732,1.40E+09,30216034,78243653,10738675,51781772,1403940463,30216034,78243653,10738675,3940463,0,0,0
3738869,BiggusDickus8,49362993,6357358,130031,333214,142452,51446623,6357358,130031,333214,142452,0,0,0,0
41959939,Fisch24,50230919,277331,469,24527,203816,51058311,277331,469,24527,203816,0,0,0,0
7870915,ii Bretw,49965466,80733453,2384437,3118116,3134517,50562866,80733453,2384437,3118116,3134517,0,0,0,0
6167238,Diz5,51336613,45479031,1303928,1808852,4297195,50482525,54906986,1690224,1979024,4783065,9427955,386000,170172,485870
9505548,Ovidan,50575864,52160593,1799284,1612289,3827506,50279988,59603478,2074830,1805477,4151839,7442885,276000,193188,324333
6167868,Rabid dog,49688434,32626736,1160709,932327,2371225,50187086,32627930,1160709,932327,2371225,1194,0,0,0
15995569,ii Bert19,48829418,77745064,2146154,3107190,2657630,49605418,77745064,2146154,3107190,2657630,0,0,0,0
30296384,DragonFire73,48082779,159421207,4276763,7009756,10171397,49221963,162390867,4389903,7080442,10171397,2969660,113000,70686,0
10135175,Rabid 2,49359485,26885768,950630,787132,2193586,48686329,36452168,1331523,981986,2479819,9566400,381000,194854,286233
51823914,crsEST9876,48799872,237077740,5876913,11579553,6894035,48611463,271714017,7279546,12230346,7259485,34636277,1400000,650793,365450
82410647,PsakiPsaki,47612672,37092663,1285764,1128796,1889841,48418747,37092663,1285764,1128796,1889841,0,0,0,0
13783623,Markynaz,48208951,119296204,3997223,3671155,6364745,48201918,119296204,3997223,3671155,6364745,0,0,0,0
85093514,Psaki Xxxx,46933155,24864502,958245,567909,1454397,48151194,24882912,958245,569750,1454397,18410,0,1841,0
85093514,Psaki Xxxx,46933155,24864502,958245,567909,1454397,48151194,24882912,958245,569750,1454397,18410,0,1841,0
28275966,0 MajdO,45533222,65044979,1340360,3275080,4611384,47971131,65287481,1348671,3282666,4611384,242502,8310,7586,0
13576477,Hestia0209,46374496,11453475,200175,708294,7580923,47864099,11453475,200175,708294,7580923,0,0,0,0
13339256,hera0209,46654727,14787407,207258,1061454,7577421,47862126,14787407,207258,1061454,7577421,0,0,0,0
52832323,Black Sail 32,47272157,49844393,1521189,1883159,4660442,47791920,49846373,1521189,1883357,4660442,1980,0,198,0
30437585,TKLNG,46751898,86342587,2035514,3635652,5955583,47193584,95729682,2388074,3869209,6124265,9387095,353000,233557,168682
28336253,Amier195,44592217,14248858,470816,386654,6391847,46182272,14248858,470816,386654,6391847,0,0,0,0
28292459,PAUL27,45536705,2272338,225,79603,1034995,46061702,2272338,225,79603,1034995,0,0,0,0
21066929,tigger jr,45336780,8376669,313003,195967,3208076,45912593,8376669,313003,195967,3208076,0,0,0,0
31262259,Jr Persinga,47337247,106980876,3551526,3546055,4974671,45912437,118893186,3941882,3946576,5592990,11912310,390000,400521,618319
29360204,ck0403my02,43970116,120353501,4303867,3408475,10476014,45256656,123014318,4397252,3487732,10561352,2660817,93400,79257,85338
54311330,YwajdsYy,43421802,28274005,956266,879285,7653971,44974364,28274005,956266,879285,7653971,0,0,0,0
27966586,Patrosklaus,42585554,7157738,122396,452304,213092,44440004,7157738,122396,452304,213092,0,0,0,0
76786622,Arsenal7777,43672466,12538829,148172,352245,44921,44282464,12538829,148172,352245,44921,0,0,0,0
37237092,Irrumatio,43730516,873574,685,36194,220531,43764389,873574,685,36194,220531,0,0,0,0
64363945,Dragonfly73,42902758,41720001,844763,2238943,5741041,43719242,41736001,844763,2240453,5741041,16000,0,1510,0
98672609,Psaki alex 5,42640411,3370120,163636,9740,1466875,43712088,3370130,163636,9741,1466875,10,0,1,0
29881564,SAADSAAD2,46392188,73384296,2522126,2248389,11065512,43670002,75981166,2603809,2344710,11482294,2596870,81700,96321,416782
2524989,Huracan88&,53556543,86052678,2904648,2618074,15251380,43616616,97910086,3473531,2664726,18360312,11857408,569000,46652,3108932
28215982,gua lJwuE,42855775,11000493,241864,408922,4526678,43177805,11000493,241864,408922,4526678,0,0,0,0
86542958,X Barbe Noire},42814046,35096653,795401,1478266,964596,43155253,35096853,795401,1478266,964596,200,0,0,0
33629885,budluckTR1,42999584,22167482,556974,1040653,3443907,43103357,22167482,556974,1040653,3443907,0,0,0,0
27085784,LAW x,40748910,15319649,420678,681024,1097173,43050150,15319649,420678,681024,1097173,0,0,0,0
28254437,Boorinyeung,42511737,405476,458,530,645214,42891075,405476,458,530,645214,0,0,0,0
34987546,Wicked55,47104674,49866221,1647400,1584083,8070688,42213489,53219056,1753851,1689876,8870897,3352835,106000,105793,800209
23549084,Yoba Bat,41822387,20828376,176167,1684538,1848262,42180862,20828376,176167,1684538,1848262,0,0,0,0
19078891,ZeePharm,41649970,54045370,1830040,1744374,525686,42034642,54045370,1830040,1744374,525686,0,0,0,0
36552064,Sweet Trauma,41462502,175221986,4444953,8334660,4225843,41524646,175236611,4444953,8334660,4225843,14625,0,0,0
29250801,Taanni,41989414,31600743,1305278,520421,400548,41464378,32355943,1343038,520421,400548,755200,37800,0,0
20686834,Skiwhirl,40488695,15084213,476901,483987,483987,40494900,15084213,476901,483987,40494900,0,0,0,0
28338445,DHOOM6666,39636534,9938606,268434,443368,5111456,40317803,9938606,268434,443368,5111456,0,0,0,0
63506619,persinga farm,39797591,29782784,646467,1605556,2760269,40290054,29782784,646467,1605556,2760269,0,0,0,0
40522634,General 8,39873279,32585876,1047995,905608,8218807,40243324,32585876,1047995,905608,8218807,0,0,0,0
